id,created_at,user,retweets,favorite_count,source,text
854430500458565633,2017-04-18 20:24:40,sencarllevin,7,0,Twitter Web Client,RT @_WayneLaw: .@SenCarlLevin wrote about companies paying their fair share of taxes to the U.S. gov’t: @thehill https://t.co/BUQ9s56xxH ht…
846748629637496836,2017-03-28 15:39:39,sencarllevin,6,0,Twitter Web Client,RT @_WayneLaw: @SenCarlLevin wrote “Devin Nunes has jeopardized the oversight role of Congress:” @thehill https://t.co/cYUrtUWKky https://t…
844928171837415424,2017-03-23 15:05:48,sencarllevin,31,46,Twitter Web Client,Chr. Nunes jeopardizes Congress' const'l responsibility to oversee Ex. Branch. Keep Russia invest. bipartisan. https://t.co/r9lL4tTQ10
842488156737875968,2017-03-16 21:30:03,sencarllevin,8,22,Twitter Ads,Russian investigation must be bipartisan - both staffs fully involved - to ensure fact finding and public trust. https://t.co/hBHz0jPCuP
842411255746957314,2017-03-16 16:24:29,sencarllevin,10,23,Twitter Web Client,Sen. Warner joined me in urging Congress to do bipartisan Russian investigation - need involvement by both staffs. https://t.co/JZ7dAteMIY
830102789187473408,2017-02-10 17:15:02,sencarllevin,9,20,Twitter Ads,Glad to see bipartisan action by the House oversight committee.https://t.co/TzoYwYKRjR
815422577615065088,2017-01-01 05:01:06,sencarllevin,11,27,Twitter Ads,https://t.co/MhORJh7F2y
806986649955696640,2016-12-08 22:19:45,sencarllevin,5,6,Twitter Web Client,Statement on the passing of John Glenn: https://t.co/jrhmQnMqTS
801802584973459456,2016-11-24 15:00:07,sencarllevin,1,5,Twitter Ads,https://t.co/QaMQxzLDbd
798935011143585792,2016-11-16 17:05:24,sencarllevin,3,0,Twitter Web Client,"RT @_WayneLaw: PHOTOS - ""New President, New Congress – What to Expect"" - https://t.co/redKLL3b9q @rochelleriley @kdecay @SenMikeKowall http…"
798934968835588096,2016-11-16 17:05:14,sencarllevin,2,0,Twitter Web Client,"RT @_WayneLaw: PHOTOS - ""New President, New Congress – What to Expect"" - https://t.co/redKLLkM0Y @SenCarlLevin @elisejosanbean https://t.co…"
796400725198671873,2016-11-09 17:15:03,sencarllevin,3,8,Twitter Ads,.@_WayneLaw to convene experts to discuss election’s impact: https://t.co/BdxBoHgEQQ @elisejosanbean @rochelleriley @kdecay @SenMikeKowall
796038331553312768,2016-11-08 17:15:02,sencarllevin,3,13,Twitter Ads,Voting is the cornerstone of our democracy. Don’t sit this one out. Find where to vote and view your ballot: https://t.co/M8G7ebGPcP
796033976271970304,2016-11-08 16:57:44,sencarllevin,6,5,Twitter Ads,Having trouble at the polls? Visit https://t.co/M8G7ebGPcP for phone numbers to call for assistance.
791736979356606464,2016-10-27 20:23:00,sencarllevin,4,0,Twitter Web Client,RT @ConPro: 2 great panels on congressional oversight from @ConPro &amp; @SenCarlLevin 1 - https://t.co/XxPQqFTxRc 2 - https://t.co/wkYHjSYiVm…
791681135013138432,2016-10-27 16:41:05,sencarllevin,1,2,Twitter Web Client,PHOTOS - Levin Center @_WayneLaw's A Right to “Know” or a Right to “No”?: https://t.co/jE1dUEmSBE  @ConPro https://t.co/pZRfbiYWPf
791309356289720321,2016-10-26 16:03:47,sencarllevin,1,2,Twitter Web Client,Photos from Levin Center @_WayneLaw workshops for European Parliament in Brussels: https://t.co/20FYOmj7bC (Photos… https://t.co/rUatjfosNL
790952559292870656,2016-10-25 16:25:59,sencarllevin,2,0,Twitter Web Client,RT @_WayneLaw: .@SenCarlLevin wrote a column for @washingtonpost against U.S. tax dodgers like Apple: https://t.co/3d4QZLmqCK https://t.co/…
790898224349401088,2016-10-25 12:50:05,sencarllevin,3,1,Twitter Ads,Can't make today's conversation on congressional oversight with @ConPro and @SenCarlLevin? Catch it live on @cspan - 2 beginning at 9 a.m.
785513999072800769,2016-10-10 16:15:06,sencarllevin,12,13,Twitter Ads,Majority of Americans want high income taxpayers to pay their fair share. We must close secret &amp; off-shore accounts https://t.co/0CP4RpmK7t
783416171584491520,2016-10-04 21:19:05,sencarllevin,18,20,Twitter Web Client,Corporate off-shore tax havens are costing us hundreds of billions of dollars. It's time to put that money to work… https://t.co/RsUWB5qHme
781531186665578496,2016-09-29 16:28:49,sencarllevin,2,0,Twitter Web Client,RT @_WayneLaw: .@elisejosanbean spoke on congressional oversight to about 50 federal agency officials at a seminar @GAIGeorgetown. https://…
781530693088215040,2016-09-29 16:26:52,sencarllevin,3,0,Twitter Web Client,RT @_WayneLaw: .@SenCarlLevin honored by @DeptofDefense for his dedication to armed forces: https://t.co/snFweMXJH5 https://t.co/uKaUS2iKkC
776185433030029312,2016-09-14 22:26:42,sencarllevin,1,0,Twitter Web Client,RT @_WayneLaw: PHOTOS - Visit by director of national drug control policy: https://t.co/1BJ2Yge8zT @SenCarlLevin @Botticelli44 https://t.co…
