id,created_at,user,retweets,favorite_count,source,text
851537875820838912,2017-04-10 20:50:25,sencortezmasto,10,32,Twitter Web Client,"Thank you @MachinistsUnion for letting me join you in Vegas. As the daughter of a union member, I will always fight… https://t.co/QKf325lFwL"
851472346275659777,2017-04-10 16:30:01,sencortezmasto,11,22,TweetDeck,"Instead of making cuts to services that connect communities and strengthen local economies, we should be investing in transportation needs."
851471326556585984,2017-04-10 16:25:58,sencortezmasto,76,101,TweetDeck,These cuts are damaging especially to rural communities in Nevada that rely on long distance Amtrak routes. https://t.co/qimtj9MOMF
850398123650412544,2017-04-07 17:21:26,sencortezmasto,22,56,TweetDeck,Invoking the nuclear option was a far cry from Republican commitment to institutionalism - eliminating minority party’s role in the process.
850397400162344962,2017-04-07 17:18:34,sencortezmasto,32,100,TweetDeck,"It is an unprecedented, disappointing day in our chamber. Senate Rs took extreme measure of changing rules to lower threshold for Gorsuch."
850344953096089601,2017-04-07 13:50:10,sencortezmasto,16,62,TweetDeck,"I support Admin’s response to this atrocity, but any further military action against Syrian regime should be debated &amp; approved by Congress."
850344057347944449,2017-04-07 13:46:36,sencortezmasto,21,52,TweetDeck,"Pres. Bashar al-Assad’s use of chemical weapons for a second time against innocent civilians, including women and children is unacceptable."
850112938300112897,2017-04-06 22:28:13,sencortezmasto,9,32,Twitter Web Client,"I had a great time meeting with students from @WestCareerTech. Ranked 4th in NV, students like them are why NV's fu… https://t.co/19VVWFReNd"
850022273910267904,2017-04-06 16:27:57,sencortezmasto,164,407,TweetDeck,GOP efforts to ram through an ideologue Supreme Court nominee threatens to politicize our highest court. #StopGorsuch
850014993122832388,2017-04-06 15:59:01,sencortezmasto,26,73,TweetDeck,"Women, minorities, the LGBTQ community &amp; workers have gained much under SCOTUS – and have much to lose under Gorsuch. #StopGorsuch"
850014534022647808,2017-04-06 15:57:12,sencortezmasto,59,141,TweetDeck,"If Gorsuch can’t gain 60 votes, GOP should withdraw his nomination and put forth a nominee who both sides can agree on."
849781200482742272,2017-04-06 00:30:01,sencortezmasto,1352,2992,TweetDeck,"If Gorsuch can't get 60 votes, I urge my GOP colleagues to withdraw his nomination and put forward someone who can gain bipartisan support."
849777424166404096,2017-04-06 00:15:00,sencortezmasto,188,489,TweetDeck,"I hope my GOP colleagues recognize the serious ramifications their unprecedented actions will have on our Court, the Senate, &amp; our country."
849773903195115520,2017-04-06 00:01:01,sencortezmasto,101,257,TweetDeck,"This change threatens to politicize our courts, fundamentally change the way the US Senate operates, and will polarize our country more."
849773656301477888,2017-04-06 00:00:02,sencortezmasto,3,7,TweetDeck,@SenateMajLdr's efforts to change the rules to a simple majority will eliminate the minority party’s role in the confirmation process.
849772392692031492,2017-04-05 23:55:01,sencortezmasto,58,136,TweetDeck,Judges confirmed to the Court must be confirmed with a bipartisan vote to avoid confirming ideological judges with a political agenda.
849771132483813376,2017-04-05 23:50:00,sencortezmasto,174,441,TweetDeck,The importance of this #SCOTUS seat is exactly why there is a long tradition of requiring 60 votes to confirm nominees to the Supreme Court.
849769874499010560,2017-04-05 23:45:00,sencortezmasto,155,230,TweetDeck,"Without a mainstream justice, Americans will continue to see a Court that rules in favor of special interests, corp… https://t.co/n0fbluFZyV"
849767358126313472,2017-04-05 23:35:00,sencortezmasto,268,560,TweetDeck,Judge Gorsuch will not be an independent check on the Executive Branch. He will be a rubberstamp on Trump's extremist agenda. #StopGorsuch
849766104641617920,2017-04-05 23:30:01,sencortezmasto,24,94,TweetDeck,The Court needs a justice who understands how their decisions will impact the Nevadans I'm fighting for. Judge Gorsuch is not that person.
849763515955109889,2017-04-05 23:19:44,sencortezmasto,6,22,Twitter Web Client,The hard work of the men &amp; women representing Operating Engineers Local 3 truly help drive our nation's economy. Th… https://t.co/DYzYk5rYwD
849731080450183170,2017-04-05 21:10:51,sencortezmasto,17,23,TweetDeck,"Si Gorsuch no recibe 60 votos los republicanos deben retirar su nominación, nominar a un juez con apoyo bipartidista https://t.co/txOP0XiHN2"
849729712461099014,2017-04-05 21:05:25,sencortezmasto,172,398,TweetDeck,We need 60 votes to avoid confirming a Supreme Court justice w/ a political agenda. Americans deserve better. https://t.co/mheYTXG2nw
849721400655052801,2017-04-05 20:32:23,sencortezmasto,29,43,TweetDeck,"Even @DHSgov Sec. Kelly admits Trump's wall is ""unlikely."" It's time for Trump to abandon his ill-conceived plan. https://t.co/OdTjV8NgXd"
849678614081789953,2017-04-05 17:42:22,sencortezmasto,345,559,Twitter Web Client,".@SenateMajLdr said himself that controversial matters should ""take 60 votes"" for confirmation. I agree. Judge Gors… https://t.co/DLgW6rtxBK"
849618839671373826,2017-04-05 13:44:51,sencortezmasto,40,123,TweetDeck,"Proud of @SenJeffMerkley for raising his voice against Judge Gorsuch's confirmation. He is right, too much is at st… https://t.co/RFXXRtwPBH"
849363385602977793,2017-04-04 20:49:46,sencortezmasto,17,73,Twitter Web Client,(3/3) I opposed Mr. Clayton's nomination b/c he gave me no indication he'll protect Americans &amp; ensure integrity of markets as SEC chair.
849363195588468741,2017-04-04 20:49:00,sencortezmasto,8,38,Twitter Web Client,"(2/3) As a former AG, I saw firsthand the devastation hardworking families endured when our financial regulators failed to enforce the law."
849362886271041542,2017-04-04 20:47:47,sencortezmasto,14,33,Twitter Web Client,"(1/3) It's clear that Jay Clayton's past work will force him to recuse himself often, thus limiting the SEC's ability to enforce the law."
849318345455394816,2017-04-04 17:50:47,sencortezmasto,18,39,Twitter Web Client,"If the pay disparity continues on same path, the #wagegap won't close until 2059. This is unacceptable. Women are e… https://t.co/Tkx32fl37h"
849301954111131648,2017-04-04 16:45:39,sencortezmasto,19,29,Twitter Web Client,"#EqualPay is essential for women to achieve economic security, especially when women w/ children contribute over 40… https://t.co/b3NrAsK7jr"
849274061674999809,2017-04-04 14:54:49,sencortezmasto,41,46,Twitter Web Client,"The #wagegap for women of color is even worse. In NV, AfAm women earn a mere 73 cents on the dollar &amp; Latinas just… https://t.co/laVMuCzr9z"
849272946380111872,2017-04-04 14:50:23,sencortezmasto,341,636,Twitter Web Client,It is unconscionable that women still have to work 94 extra days to earn what their male colleagues make in a year. #EqualPayDay
849028170732929024,2017-04-03 22:37:44,sencortezmasto,9,27,Twitter Web Client,.@ZagMBB I will be cheering you on tonight! Can't wait to watch you make history! #UnitedWeZag #NationalChampionship https://t.co/hPFRX9XGaM
848949699478532096,2017-04-03 17:25:55,sencortezmasto,22,76,TweetDeck,Protecting our public lands is a smart economic investment. Our outdoor recreation economy benefits from visitors w… https://t.co/4WYtvTXLj8
848929943128076290,2017-04-03 16:07:25,sencortezmasto,11,42,TweetDeck,.@tulespringsnps provides us w/ opportunity to learn &amp; appreciate our nation’s incomparable natural beauty and fasc… https://t.co/lnuDLCrSJi
847939060307959810,2017-03-31 22:30:00,sencortezmasto,50,64,TweetDeck,Shameful that doctors who care for dozens of patients are being considered for deportation despite legal status. https://t.co/FwCuiItyHP
847931063632637954,2017-03-31 21:58:14,sencortezmasto,67,237,Twitter for iPhone,Honoring César Chávez Day by cosponsoring a resolution that commemorates the tremendous impact of his advocacy for hardworking families.
847912639858581504,2017-03-31 20:45:01,sencortezmasto,44,111,TweetDeck,"We must continue working to protect the rights of #LGBTQ community and respect all Americans, regardless of sex or gender identity. #TDOV"
847911367277502466,2017-03-31 20:39:58,sencortezmasto,19,55,TweetDeck,"On #TDOV, we reaffirm that trans rights are human rights, and to keep moving toward inclusion and equality for all. https://t.co/mtzmPT5cY5"
847845050436288512,2017-03-31 16:16:26,sencortezmasto,61,156,Media Studio,"It’s time for Republicans to stop playing politics with women’s health, and actually put their health and safety fi… https://t.co/en6p8pIujR"
847828368431210496,2017-03-31 15:10:09,sencortezmasto,12,33,TweetDeck,Alex asked me a question I’ve never been asked before. Check out this aspiring journalist's big scoop here! https://t.co/svxFUIeldK
847591779058798593,2017-03-30 23:30:02,sencortezmasto,68,238,TweetDeck,Next justice will make decisions that will have serious implications for generations. I believe a nominee of such importance need 60 votes.
847579522090377216,2017-03-30 22:41:19,sencortezmasto,55,158,TweetDeck,"Not confident Gorsuch understands how his decisions will impact workers, immigrants, women &amp; everyday Nevadans that I'm here fighting for."
847561879178424320,2017-03-30 21:31:13,sencortezmasto,146,519,TweetDeck,I remain concerned that Judge Gorsuch’s narrow view of the law will hurt the most vulnerable amongst us. I will vote NO on his nomination.
847479495275692033,2017-03-30 16:03:51,sencortezmasto,274,290,TweetDeck,Senate GOP &amp; VP @mike_pence vote to cut off women &amp; families access to critical healthcare services through #TitleX… https://t.co/EZwsOc8yMw
847221840070217728,2017-03-29 23:00:01,sencortezmasto,23,50,TweetDeck,Trump’s budget could hurt efforts to prevent homelessness. Nevada veterans deserve better than this. https://t.co/4iKZ0CE3VI
847198738355490816,2017-03-29 21:28:14,sencortezmasto,39,97,TweetDeck,Alzheimer's is a devastating and debilitating illness that affects millions of Americans. We must continue to make… https://t.co/AKk2X5ktof
847158548278788096,2017-03-29 18:48:32,sencortezmasto,6,23,TweetDeck,We owe Nevada's success to investing in local businesses &amp; economic diversification. More on why we're #1 by @Forbes https://t.co/x9S6YGND5E
847137231131361281,2017-03-29 17:23:49,sencortezmasto,106,324,Media Studio,My team &amp; I are excited to #PinkOut today! We won’t stop fighting for women in NV &amp; across US who rely on @PPFA for… https://t.co/94j4Tq5jIE
847129801173422080,2017-03-29 16:54:18,sencortezmasto,56,76,TweetDeck,Trump's mass deportation order does not improve our national security. It tears families apart. Read Fatima's story: https://t.co/tugrinUqnc
847110515465900032,2017-03-29 15:37:40,sencortezmasto,13,39,TweetDeck,".@NIH research saves lives. We should be investing more in scientific innovation, not curtail medical discoveries.
https://t.co/J1nSsniUAm"
847097356281561088,2017-03-29 14:45:22,sencortezmasto,2,10,TweetDeck,"Ex-Im Bank helps small and mid-sized American manufacturers, just like Nevadan Karl Hutter’s family-owned business. https://t.co/0WiSRrwXnW"
