id,created_at,coordinates,retweets,favorite_count,source,text
817759726293413889,2017-01-07 15:48:06,,2,0,Twitter for iPhone,RT @JanetteVILeg: Congratulations @CoryBooker @NewDEALLeaders! I also see Virgin Islands Delegate to Congress @StaceyPlaskett. Best wishes…
816366674429509633,2017-01-03 19:32:37,,2,0,Twitter for iPhone,RT @lindsemcpherson: .@StaceyPlaskett stands up to object to delegates from the terroritories not getting a voice on the House floor.
816366441960275973,2017-01-03 19:31:41,,2,6,Twitter for iPhone,In the #115thcongress I will continue the fight for equal treatment of the Territories and for the economic welfare of hardworking families.
812299201363197952,2016-12-23 14:09:56,,1,1,Twitter Web Client,Season Greetings! Tune in &amp; Join me now on WSTX 970 AM w/ Brother R as we discuss what's upcoming from my office. https://t.co/zfqzSaD0lV
806892769759334400,2016-12-08 16:06:42,,8,0,Twitter for iPhone,RT @NCSLorg: Rep @StaceyPlaskett discusses the unique issues facing the US Virgin Islands as they relate to voting and representation in th…
806883083689558016,2016-12-08 15:28:12,,6,9,Twitter for iPhone,Discussing enfranchisement of the VI and US Territories w/ members of the @NCSLorg @LegislatureVI @EqualNow https://t.co/RIkz3pomY9
806556462591967232,2016-12-07 17:50:20,,4,3,Twitter Web Client,Remembering the heroics of Dorie Miller &amp; the men &amp; women who gave everything on that fateful day. https://t.co/E1iNWRE3fg via @dallasnews
806148759830884352,2016-12-06 14:50:16,,0,0,Twitter Web Client,New @KidsCountVI report confirms why the stakes are high for so many in my home district of the USVI. Childhood Poverty has increased to 35%
805986873093062656,2016-12-06 04:06:59,,1,0,Twitter for iPhone,"RT @RepCardenas: Thank you to my colleagues @StaceyPlaskett &amp; @RepDebDingell. When we challenge each other in a good way, it makes us stron…"
805934174536368128,2016-12-06 00:37:35,,12,0,Twitter for iPhone,RT @RepBonnie: I support the decision of @POTUS and @USACEHQ to consider possible alternative routes for the pipeline. #DAPL https://t.co/S…
804562960630874112,2016-12-02 05:48:52,,33228,0,Twitter for iPhone,"RT @POTUS: Today, we honor those who are leading the fight against HIV/AIDS. Because of them, an AIDS-free generation is now within our rea…"
804426809114697728,2016-12-01 20:47:51,,2,3,Twitter Web Client,This #WorldAIDSDay let's reflect on the many lives lost and also reaffirm our commitment to #EndingAIDS
803241447940124672,2016-11-28 14:17:39,,0,1,Twitter for iPhone,Congrats @gwhitaker4hmnty
803241230305988609,2016-11-28 14:16:47,,1,0,Twitter for iPhone,RT @USVInews: #StThomas Source: St. Croix Resident Selected for UN Fellowship https://t.co/HnAcaPBfYY
799284794945368065,2016-11-17 16:15:19,,5,0,Twitter Web Client,RT @CU_Susie: Thank you @StaceyPlaskett for meeting with our @CloseUp_DC students during their Capitol Hill Day visit! #VirginIslands  #civ…
798961602812903425,2016-11-16 18:51:04,,1,2,Twitter Web Client,1 in 4 renters are paying more than HALF their paycheck for rent: https://t.co/IU7NaGsbIb #MakeRoom #affordable housing #115thCongress
796812191534108676,2016-11-10 20:30:05,,1,0,Twitter Web Client,RT @MClyburnFCC: Thank you to @StaceyPlaskett for hosting me for a series of mtgs this week w/ local stakeholders in the #telecom sector. #…
