id,created_at,coordinates,retweets,favorite_count,source,text
784125080829849600,2016-10-06 20:16:02,,0,0,iOS,Minneapolis uto
685536826304651264,2016-01-08 19:01:30,,61,0,Twitter for iPhone,RT @marcorubio: Looking forward to our Miami rally on Sunday with special guest Rick Harrison (@GoldSilverPawn)! RSVP here: https://t.co/tq…
685536749674729472,2016-01-08 19:01:12,,175,0,Twitter for iPhone,RT @marcorubio: Check out my new ad that is running ahead of the NFL wild card games this weekend: https://t.co/TxsVrJfumx
685290396356853762,2016-01-08 02:42:17,,125,0,Twitter for iPhone,"RT @marcorubio: Our positive, issues-oriented campaign is resonating with more and more Iowans every day: https://t.co/cvqVHIb54u"
685221567429763073,2016-01-07 22:08:47,,190,0,Twitter for iPhone,RT @glennbeck: Great show with @marcorubio tonight on @theblaze. He answers your questions &amp; more - 5ET on https://t.co/Bn8v3oS7s7 https://…
685093437469753345,2016-01-07 13:39:38,,1,0,Twitter for iPhone,Agree but in the pejorative sense.  Can't trust Cruz any more than Nixon.  https://t.co/7tpEsHtiiT
685069843104661504,2016-01-07 12:05:53,,1,1,iOS,Marco Rubio &amp; Hillary Clinton: Who Would Win? https://t.co/yUzz7qDDYJ
685066613444481024,2016-01-07 11:53:03,,256,0,Twitter for iPhone,"RT @theblaze: ""He will crush @HillaryClinton"": @glennbeck says he was ""very impressed"" with @marcorubio https://t.co/LWhHPz0yTA https://t.c…"
685057841867165697,2016-01-07 11:18:11,,369,0,Twitter for iPhone,"RT @marcorubio: Hillary attacks my record because she knows if I am the nominee, we are going to beat her. https://t.co/b26jsfcq81"
684930489917005824,2016-01-07 02:52:08,,147,0,Twitter for iPhone,"RT @marcorubio: Had a great time, @glennbeck! Thanks for having me on the show, and thanks for coming to our rally.  https://t.co/BCKHafGfGW"
684872278300082176,2016-01-06 23:00:50,,0,0,Mobile Web,Backers line up for Rubio https://t.co/SIYmFgZ2FD
684866289916067841,2016-01-06 22:37:02,,5,0,Twitter for iPhone,"RT @ImWithRubio: Head-to-head in NH, per @ppppolls, Rubio beats Trump handily (52-40). 
Trump also loses to Cruz 46-39(15 un).
Rubio over C…"
684866236027670528,2016-01-06 22:36:49,,9,0,Twitter for iPhone,"RT @ImWithRubio: New PPP New Hampshire Poll
 (Jan 6 2016)

Trump: 29
Rubio: 15
Christie: 11
Kasich: 11
Jeb: 10
Cruz: 10"
